ID,area,area_3min,area_3sec,lat,lat_3min,lat_3sec,lon,lon_3min,lon_3sec
429,35399,35216.191488,35344.0,49.018,49.025000000000105,49.022083,12.144,12.125000000000032,12.14375
436,26448,26334.918655999998,26394.0,48.947,48.92500000000011,48.94625,12.015,12.02500000000003,12.014583
439,37687,37540.92544,37605.0,48.88,48.92500000000011,48.879583,12.747,12.67500000000004,12.74625
442,12284,12498.392064,12281.0,48.8,48.82500000000012,48.797917,16.86,16.8250000000001,16.85875
444,20001,20194.414591999997,19982.0,48.754,48.72500000000012,48.754583,11.422,11.325000000000019,11.422083
445,47496,47461.597184,47488.0,48.676,48.675000000000125,48.67625,13.116,13.075000000000045,13.11375
449,24129,24093.882368,23996.0,48.6027,48.62500000000013,48.602917,16.9386,16.9250000000001,16.937917
450,76653,76461.17887999999,76414.0,48.582,48.57500000000013,48.582083,13.504,13.525000000000052,13.502083
454,26084,76420.169728,76397.0,48.562,48.57500000000013,48.57375,13.443,13.475000000000051,13.480417
456,25664,24361.367552,24199.0,48.4361,48.42500000000014,48.43625,13.4417,13.42500000000005,13.439583
460,11474,11924.685824,11931.0,48.3961,48.37500000000014,48.395417,21.7502,21.77500000000017,21.750417
461,95970,95783.28883199999,95701.0,48.3833,48.37500000000014,48.38375,15.4622,15.47500000000008,15.46125
464,101537,101218.779136,101272.0,48.3337,48.325000000000145,48.33375,16.3257,16.27500000000009,16.32625
465,79490,79277.74412799999,79256.0,48.31,48.325000000000145,48.31625,14.3,14.275000000000063,14.295417
469,11218,10904.815616,10435.0,48.1617,48.17500000000015,48.159583,17.8834,17.875000000000114,17.882917
471,131331,130758.156288,131093.0,48.1402,48.125000000000156,48.137917,17.1096,17.125000000000103,17.109583
475,11983,11894.528,11920.0,48.059,48.07500000000016,48.059583,12.233,12.225000000000033,12.232917
484,62723,62689.923072,62309.0,47.8833,47.87500000000017,47.88125,21.0667,21.07500000000016,21.065417
488,15385,15285.977088,15101.0,47.7872,47.775000000000176,47.787083,22.8769,22.875000000000185,22.87625
489,183533,183167.156224,182831.0,47.78,47.775000000000176,47.775417,18.95,18.97500000000013,18.954583
491,171720,171392.139264,171047.0,47.73,47.72500000000018,47.73625,18.33,18.32500000000012,18.329583
517,75113,73125.43744,72672.0,47.1833,47.17500000000021,47.172083,20.2,20.225000000000147,20.202083
529,11899,11796.060159999999,11985.0,46.7258,46.725000000000236,46.725417,26.9461,26.925000000000246,26.94625
550,138408,139008.835584,138468.0,46.25,46.27500000000026,46.25625,20.1667,20.175000000000146,20.167083
551,30149,29804.412927999998,29877.0,46.2167,46.17500000000027,46.195417,20.4833,20.52500000000015,20.47875
553,27280,27276.290048,27174.0,46.1608,46.12500000000027,46.160417,21.3217,21.375000000000163,21.322083
559,18055,17561.518079999998,17961.0,46.0375,46.07500000000027,46.037917,23.5817,23.625000000000195,23.582083
560,209064,208750.1824,208380.0,46.0,46.025000000000276,46.009583,18.67,18.725000000000126,18.682917
562,140130,141735.804928,140234.0,45.9329,45.97500000000028,45.93625,20.0825,20.075000000000145,20.092083
564,10186,9067.803648,9929.0,45.8932,45.875000000000284,45.89375,15.6097,15.625000000000082,15.609583
566,210245,210774.523904,213013.0,45.85,45.82500000000029,45.850417,18.87,18.875000000000128,18.857083
578,36030,36463.37024,36210.0,45.5559,45.5750000000003,45.557917,27.5122,27.525000000000254,27.512083
579,251593,252057.76384,253995.0,45.53,45.525000000000304,45.527083,19.08,19.07500000000013,19.079583
585,13733,13735.921664,13844.0,45.385,45.37500000000031,45.385417,24.2994,24.32500000000021,24.29875
591,807000,785400.0046079999,790513.0,45.2167,45.22500000000032,45.22375,28.7167,28.62500000000027,28.717083
599,87966,84723.34336,91748.0,44.9813,44.975000000000335,44.96875,19.6183,19.525000000000137,19.600417
608,570896,562077.564928,567948.0,44.8147,44.825000000000344,44.81375,21.3794,21.375000000000163,21.379583
612,576232,566094.4629759999,571932.0,44.7,44.67500000000035,44.70375,22.42,22.375000000000178,22.417083
615,709100,687823.192064,694362.0,44.6833,44.57500000000036,44.63875,27.945,27.92500000000026,27.92375
617,34345,37456.863231999996,37147.0,44.58,44.57500000000036,44.585417,21.12,21.12500000000016,21.120417
626,584900,575173.033984,581126.0,44.16,44.17500000000038,44.15375,22.82,22.825000000000184,22.819583
627,689700,680260.534272,686677.0,44.13,44.125000000000384,44.124583,27.26,27.275000000000247,27.26125
632,669900,659697.3690879999,665381.0,43.86,43.8250000000004,43.85875,25.95,25.92500000000023,25.952083
633,588860,578805.301248,584380.0,43.84,43.8250000000004,43.83875,23.24,23.22500000000019,23.239583
639,658400,641867.382784,647711.0,43.6272,43.62500000000041,43.62625,25.3544,25.37500000000022,25.354583
